Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI,pet,aspect,avg_precip,elevation_x,land_use,slope,soil_carbon,soil_clay,soil_ph,veg_index,elevation_y,evaporation,evi,ndvi,pop_density_3km,precip_30d_max,precip_30d_sum,precip_7d_sum,rainy_days_30d,row_index,runoff,soil_moist_deep_avg,soil_moist_top,temp_2m,ag_pct,urban_pct,forest_pct,water_pct,bare_pct,grass_pct,soil_cec,soil_soc,twi,human_mod,evi_index
-28.760833,17.730278,2011-01-02,11190.0,11426.0,7687.5,7645.0,0.1855383392928079,0.1955947367044225,174.2,121.0,0.1430461555719375,166.0,80.0,16.0,0.0,23.0,80.0,1268.495652173913,174,-7.112696766853333e-05,587.0,1202.0,0.002910470233449,0.0,0.0,0.0,0,0,0.0,0.0872518751356336,0.0092817942301432,295.4862524668376,0.0,0.0,2.241746505918435,3.000193612211539,92.39851051208218,0.2290635799516766,166.79680785758134,402.61387354205044,4.278460885812027,0.041113292811314574,601.1651296948436
-26.861111,28.884722,2011-01-03,17658.5,9550.0,13746.5,10574.0,0.1245661518866418,-0.1801343549460211,124.1,132.0,1.5832431316375732,1525.0,30.0,3.0,2.0,32.0,67.0,4399.373913043478,1525,-0.0044353948906064,4209.0,7305.0,0.0358796534165601,27.049041748046875,198.7331256866455,47.32947063446045,16,1,0.0048792362213134,0.3747711181640625,0.4758593241373698,293.0300102233887,43.05598415130395,0.226943323098017,0.068825229799795,0.4576652862634738,0.4169099541075168,55.77367205542726,199.7500787897889,165.7204538291838,3.423765159309203,0.398595977456007,2463.739429150852
-26.45,28.085833,2011-01-03,15210.0,10720.0,17974.0,14201.0,-0.0832931533269042,-0.2528054645570494,127.5,253.0,1.5644408464431765,1476.0,30.0,3.0,6.0,29.0,64.0,4695.721739130435,1477,-0.0040481491014361,4397.5,6190.0,0.7464096131048672,47.03375625610352,183.1065187454224,34.64052963256836,14,2,0.0001020580530166,0.2730053795708551,0.4065659840901692,293.3679008483887,21.207520422927857,4.631123210242729,2.330572654608168,0.3914159369942238,3.049974379637344,68.21770310627144,217.20959595959602,179.98074494949498,6.7159540451965,0.6580240900505976,2510.0541776460254
-27.671111,27.236944,2011-01-03,14887.0,10943.0,13522.0,11403.0,0.0480481537540918,-0.1054159002656852,129.7,102.0,1.3164290189743042,1343.0,30.0,4.0,2.0,28.0,68.0,4221.4,1345,-0.0035598957911133,3306.0,5699.5,3.3991282097402435,26.83738899230957,183.68108224868772,72.84485054016113,12,3,0.000117689371109,0.3300543891059028,0.4809125264485677,293.9713350931804,10.234559383380116,17.94244196301978,6.6304947293914855,1.2647674166761569,2.476884569096216,58.69379115395178,190.138770541692,141.67924528301884,5.0806355381420465,0.830901673692741,2211.6648787243093
-27.356667,27.286389,2011-01-03,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.1426831468783826,129.2,180.0,1.4019638299942017,1361.0,10.0,5.0,2.0,26.0,65.0,4588.521739130435,1360,-0.0035479739308357,3344.0,6343.0,0.0170749885121548,32.06743240356445,226.57600593566892,87.17156791687012,15,4,0.0002551972866058,0.3282994164360894,0.4558862050374349,294.02040735880536,45.2816601161537,0.1256211641879812,0.8108275143042425,0.3892688624320616,0.3197629633875886,52.89345175609876,179.34047919293818,149.78783102143757,4.524309019708488,0.22201736185882914,2208.3155957015183
-27.01011111,26.69808333,2011-01-04,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.0426722630290309,98.6,,,,,,,,,,1291,-0.00438869651407,2898.0,5458.5,0.9534521290653448,21.44793701171875,153.8042287826538,24.9512882232666,15,5,1.3455748558044434e-05,0.2118286556667752,0.3445205688476562,295.0528914133708,33.09086138936783,4.888358381679471,5.075019250103999,2.4824772390543948,0.7025277161065643,50.714387756844005,176.26247288503254,201.41973039215682,4.674337749922917,0.49964452845413737,2034.9743553815513
-25.127778,27.628889,2011-01-04,7814.0,5189.5,6664.0,5222.0,0.0794308606161066,-0.1243936390095741,105.5,180.0,1.4493943452835083,959.0,30.0,1.0,3.0,27.0,71.0,4817.130434782609,958,-0.0038143219426274,4001.5,6289.0,0.0222107976028699,20.072071075439453,171.4794569015503,55.67950248718262,14,6,1.1458992958068848e-05,0.2106956905788845,0.3444906870524089,296.8773543039958,11.6899195928558,0.1513369005928845,8.16484263473207,0.1514738570640093,0.6654714931953177,16.634641678501982,181.5266814019577,191.92453425955165,3.946922180106122,0.2948495125992651,2682.898337474774
-25.20639,27.558,2011-01-04,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.0072659031854489,103.700005,280.0,1.3983242511749268,956.0,50.0,5.0,3.0,29.0,64.0,4920.052173913044,959,-0.0042924229055643,4025.5,7214.5,0.0962858757826151,23.42193031311035,130.48641681671145,35.628225326538086,11,7,7.808208465576172e-06,0.1985223558213975,0.3160413106282552,296.8902123769124,30.837117759291345,0.3490157755130531,5.149511058553441,0.1279724510214528,0.7212992693936431,8.596007624511943,192.71617786187326,184.82403027436135,5.5361999154415855,0.38274946413142424,2791.791345481469
-24.69514,27.40906,2011-01-04,15543.0,10647.0,11919.5,9642.5,0.1319435593991802,-0.0563888950435377,111.8,356.0,1.232890009880066,907.0,60.0,15.0,3.0,33.0,68.0,4966.565217391304,913,-0.0037769014015793,2867.5,4913.5,0.0302182659996049,18.406009674072266,101.57394170761108,26.471423149108887,9,8,3.1113624572753906e-05,0.1971533033582899,0.3613643646240234,297.1818790435791,38.77434712415774,0.5408181403369242,15.119268610466168,0.7242977381386508,1.984099351109856,11.238480413266604,202.1643014821823,188.6263008514665,3.327945141425793,0.6018793211491542,2988.5220490038814
-26.98472222,26.63227778,2011-01-04,13683.0,10207.0,14011.5,11850.5,-0.0118615609597573,-0.1570906538390067,98.200005,270.0,1.1814368963241575,1289.0,30.0,5.0,2.0,27.0,68.0,3732.991304347826,1287,-0.0042294943705201,2930.5,5088.5,12.28301547427429,30.98256492614746,151.09054517745972,24.78807020187378,13,9,3.679096698760986e-05,0.2146716647677951,0.3584423065185547,294.8585554758708,25.407993385651988,15.599301718966592,5.447670486842076,1.7767073398143758,1.7889295046203828,46.310366597542526,179.5219450584149,118.49731607199243,4.548189429672393,0.5225306878546868,1926.6556582144672
